v_1, v_2, v_3, v_4, v_5, v_6, v_7, v_8, v_9, v_10, v_11, v_12, v_13, v_14, v_15, v_16, v_17, v_18, v_19, v_20, v_21, v_22, v_23, v_24, v_25, v_26, v_27, v_28, v_29, v_30, v_31, v_32, v_33, v_34, v_35, v_36, v_37, v_38, v_39, v_40, v_41, v_42, v_43, v_44, v_45, v_46, 
0.0211392, 0.203972, 0.0210607, -0.186632, 0.101893, 0.164256, -0.00408535, -0.325219, 0.121306, -0.349461, -0.034109, 0.332699, 0.0748754, -0.19242, 0.270586, -0.100453, 0.226048, 0.259724, -0.174178, 0.0908165, 0.143715, -0.195816, -0.218474, -0.35247, 0.0247483, -0.116921, 0.0766928, -0.0468204, 0.00810486, -0.00799914, 0.00348002, -0.00759529, -0.00605486, -0.00798031, 0.000301956, -0.00978057, -0.00460409, -0.00773214, 0.00299198, 0.00412487, -0.00694419, 0.00399541, -0.00322922, 0.000824173, 0.00458713, -0.00511141, 
0.0251701, 0.23673, 0.0394207, -0.190224, 0.103084, 0.171144, -0.0653639, -0.391839, 0.0247472, -0.265723, 0.0520763, 0.182164, -0.0810511, -0.0891547, -0.0342779, -0.0547971, -0.116828, -0.00684328, 0.147608, -0.0444371, -0.178998, 0.1563, 0.349167, 0.5921, 0.0164196, 0.110664, -0.0533021, 0.00669675, -0.0112133, 0.0115585, 0.00706995, 0.0090078, 0.0155816, 0.0146839, -0.000484374, 0.012426, 0.0114969, 0.0183578, -0.000240401, -0.00918841, -0.00258613, -0.00419848, -0.00036036, 0.00646506, -0.00084249, -0.00109008, 
0.0300764, 0.270636, 0.0586852, -0.186052, 0.0669781, 0.161898, -0.136644, -0.312795, -0.126347, 0.00972544, 0.127209, -0.154698, -0.189527, 0.138395, -0.347829, 0.11107, -0.277875, -0.354332, 0.181369, 0.0297301, 0.0284942, 0.170299, -0.226581, -0.418075, -0.0487711, -0.0529812, -0.00237503, 0.0204178, 0.00477384, 0.00634003, -0.00722717, 0.000304983, -0.0103478, -0.0124574, -0.00948848, -0.0124869, -0.00341714, -0.0128762, -0.00304523, 0.00463011, 0.00889109, 0.00050588, 0.0044351, -0.00310902, -0.000728815, 0.00163732, 
0.0380757, 0.287715, 0.110358, -0.142163, -0.0212009, 0.117222, -0.243228, -0.103795, -0.271564, 0.295053, 0.121009, -0.3214, -0.0272579, 0.189982, -0.0655756, 0.0495937, 0.185222, 0.193584, -0.33435, -0.0189832, 0.0819927, -0.489993, 0.112957, 0.149795, 0.0128258, 0.0680724, -0.00957274, -0.00774826, -0.0249247, -0.0114391, 0.000648939, -0.0161508, 0.00262891, 0.00563243, 0.00341616, 0.00692699, 0.00522923, 0.0124667, 0.00449513, -0.00405832, -0.00202644, -0.00563168, -0.000180568, -6.50115e-05, -0.00409345, -0.000348059, 
0.0536586, 0.292972, 0.170265, -0.083005, -0.130609, 0.0393511, -0.288571, 0.116355, -0.194739, 0.272388, -0.0434946, -0.0661743, 0.199614, -0.0784908, 0.340851, -0.0910333, 0.215557, 0.153052, 0.127779, -0.0212202, -0.0504501, 0.591904, -0.107446, 0.0216682, -0.0173382, -0.117093, 0.0197976, -0.0260171, 0.0423755, 0.0139137, -0.00113711, 0.0142564, -0.003668, 0.00430941, 0.000123214, -0.00792572, -0.00109231, -0.00786058, -0.00311314, -0.000829968, -0.000853137, 0.00558901, -0.000379207, -0.00394026, 0.0016989, 0.00114292, 
0.0686103, 0.279783, 0.215341, -0.0126654, -0.229574, -0.0341742, -0.220471, 0.264063, -0.00950717, 0.0514405, -0.20969, 0.280333, 0.20552, -0.239882, 0.123479, -0.0167626, -0.265656, -0.327785, 0.179951, 0.011571, -0.106015, -0.385059, 0.17648, -0.158565, 0.0338787, 0.17342, -0.0372991, 0.0511486, -0.067476, 0.0360193, -0.00936635, -0.0213984, 0.00461695, -0.00394637, 0.00939385, 0.0128486, -0.00569819, 0.00458576, 0.00638604, 0.0100835, 0.00231912, -0.00479478, 0.00409687, 0.000890438, 0.000226369, 0.000470371, 
0.0864764, 0.237115, 0.251235, 0.0810591, -0.269515, -0.070504, -0.0646659, 0.218858, 0.159478, -0.165787, -0.170655, 0.191765, -0.0836464, 0.0686473, -0.353905, 0.136336, -0.173574, 0.130945, -0.278153, 0.0818769, 0.232998, 0.085557, -0.276811, 0.297037, -0.126205, -0.24057, 0.0204779, -0.0417295, 0.112822, -0.0954013, -0.0127823, 0.0492663, -0.0111281, -0.0108144, -0.00977038, -0.0038864, 0.00244676, -0.000197638, -0.0168503, -0.00240164, -0.0103826, 0.0076669, -0.00618804, -0.00565482, 0.00479481, -0.00287863, 
0.104785, 0.185321, 0.252248, 0.14063, -0.23415, -0.0670513, 0.090998, 0.0677999, 0.187294, -0.22935, -0.0197622, -0.069094, -0.230137, 0.233808, -0.165008, 0.0228871, 0.268688, 0.204018, -0.00307843, -0.133752, -0.198461, 0.155566, 0.266221, -0.284811, 0.242007, 0.241975, 0.0857757, 0.0688365, -0.204435, 0.14929, 0.101248, -0.100791, 0.0548502, 0.0173743, -0.013222, -0.0108205, -0.00389725, 0.000880312, 0.0127252, -0.00234526, 0.00266349, -0.000785902, 0.00518833, 0.0159471, -0.000144427, 0.00136078, 
0.123862, 0.131752, 0.246123, 0.172076, -0.132438, -0.0400788, 0.201955, -0.0577051, 0.148407, -0.128517, 0.147674, -0.248072, -0.153806, 0.0889348, 0.232653, -0.126285, 0.185539, -0.136631, 0.290087, -0.0691796, -0.0347055, -0.188524, -0.00988523, 0.0174014, -0.19731, -0.142515, -0.255192, -0.119613, 0.251127, -0.289903, -0.209283, 0.204355, -0.143903, -0.0736515, 0.0650012, 0.0532824, 0.0260579, -0.0395839, 0.00749507, -0.0170356, 0.0130893, 0.0065035, 0.000347343, -0.00774529, -0.00186051, -0.00623061, 
0.141858, 0.0773552, 0.225161, 0.186954, -0.0342895, -0.0119181, 0.248711, -0.121984, 0.0796959, 0.0147751, 0.199498, -0.214513, 0.0356034, -0.0806289, 0.250984, -0.0590356, -0.125131, -0.162356, 0.00673841, 0.119963, 0.13152, -0.0605757, -0.199191, 0.175805, -0.0648003, -0.026811, 0.141048, 0.0672285, -0.0627577, 0.32715, 0.223203, -0.339055, 0.237269, 0.208355, -0.182248, -0.147499, -0.0846185, 0.128555, -0.0217903, 0.0533999, -0.0319755, -0.0173783, -0.0133371, 0.00412916, 0.00404069, 0.0135402, 
